Time,aX,aY,aZ,gX,gY,gZ
1180998,-0.659,-0.249,0.708,-15.54,12.74,-1.61
1181007,-0.654,-0.251,0.71,-14.28,12.6,-0.84
1181017,-0.645,-0.249,0.7,-14.21,12.88,-0.35
1181027,-0.656,-0.242,0.691,-14.98,13.09,-0.21
1181036,-0.653,-0.229,0.687,-20.16,12.95,-0.49
1181046,-0.648,-0.235,0.68,-27.86,12.25,-1.4
1181055,-0.653,-0.251,0.687,-32.62,12.53,-1.61
1181065,-0.648,-0.256,0.693,-34.86,13.3,-1.68
1181075,-0.652,-0.262,0.687,-37.52,14.28,-2.31
1181084,-0.666,-0.278,0.684,-38.78,13.65,-3.15
1181094,-0.662,-0.291,0.68,-36.33,11.06,-2.31
1181104,-0.661,-0.305,0.679,-29.75,8.61,-1.96
1181113,-0.666,-0.321,0.677,-20.16,6.51,-1.75
1181123,-0.672,-0.331,0.677,-8.4,4.13,-1.26
1181132,-0.671,-0.323,0.677,3.43,1.4,-0.35
1181142,-0.672,-0.298,0.678,11.27,-1.26,0.49
1181152,-0.667,-0.269,0.693,12.6,-2.38,0.91
1181161,-0.656,-0.255,0.702,8.4,-0.63,0.7
1181171,-0.647,-0.263,0.71,3.22,3.29,-0.14
1181181,-0.661,-0.272,0.69,0.63,7.49,-1.12
1181190,-0.675,-0.283,0.672,0.07,7.91,-1.4
1181200,-0.683,-0.278,0.66,1.4,5.53,-0.84
1181209,-0.671,-0.264,0.661,1.75,2.8,-0.42
1181219,-0.67,-0.26,0.675,0.42,1.75,-0.91
1181229,-0.67,-0.264,0.687,-2.87,2.94,-1.61
1181238,-0.665,-0.273,0.682,-6.09,4.62,-2.1
1181248,-0.668,-0.283,0.673,-7.07,4.97,-2.03
1181258,-0.672,-0.295,0.671,-6.51,3.78,-1.75
1181267,-0.668,-0.3,0.666,-4.41,2.17,-1.54
1181277,-0.673,-0.302,0.671,-1.12,1.19,-0.91
1181286,-0.674,-0.294,0.673,1.12,0.14,-0.56
1181296,-0.673,-0.287,0.666,1.75,-0.14,-0.21
1181306,-0.676,-0.281,0.662,2.73,-0.35,0.21
1181315,-0.677,-0.272,0.656,3.64,-1.4,0.56
1181325,-0.677,-0.259,0.647,3.5,-3.22,0.77
1181335,-0.668,-0.259,0.669,2.73,-5.46,0.7
1181344,-0.673,-0.254,0.698,0.35,-4.97,-0.07
1181354,-0.666,-0.267,0.703,-3.92,-2.52,-0.49
1181363,-0.671,-0.278,0.699,-6.23,1.33,-0.77
1181373,-0.681,-0.285,0.701,-7.49,2.73,-1.05
1181383,-0.673,-0.289,0.699,-9.31,2.73,-1.61
1181392,-0.671,-0.298,0.685,-9.73,3.92,-2.1
1181402,-0.679,-0.306,0.681,-8.4,3.5,-1.82
1181412,-0.67,-0.296,0.673,-7.63,3.22,-0.91
1181421,-0.68,-0.297,0.682,-9.31,3.43,-0.28
1181431,-0.675,-0.294,0.67,-12.39,4.06,0.21
1181440,-0.674,-0.3,0.661,-14.35,4.13,0.28
1181450,-0.68,-0.307,0.665,-12.81,2.94,0.21
1181460,-0.678,-0.301,0.664,-9.38,1.75,0.77
1181469,-0.671,-0.291,0.665,-6.3,0.77,1.19
1181479,-0.675,-0.289,0.669,-4.34,-0.21,0.98
1181489,-0.666,-0.281,0.664,-2.59,-0.35,0.98
1181498,-0.673,-0.281,0.669,-1.61,-0.35,0.21
1181508,-0.67,-0.285,0.664,-0.91,-0.28,-0.49
1181517,-0.676,-0.292,0.654,0.77,-0.63,-1.05
1181527,-0.677,-0.291,0.657,2.73,-1.68,-0.98
1181537,-0.675,-0.281,0.667,2.45,-2.17,-1.12
1181546,-0.673,-0.284,0.667,-0.21,-1.4,-1.33
1181556,-0.676,-0.294,0.674,-2.24,-0.35,-1.33
1181566,-0.675,-0.295,0.68,-2.66,0.49,-0.98
1181575,-0.676,-0.295,0.679,-2.38,0.35,-0.7
1181585,-0.674,-0.285,0.667,-2.03,-0.42,-0.35
1181594,-0.671,-0.284,0.679,-3.78,-1.26,-0.14
1181604,-0.668,-0.294,0.666,-6.23,-0.21,-0.28
1181614,-0.668,-0.295,0.658,-6.51,-0.07,-0.42
1181623,-0.675,-0.294,0.67,-5.67,-1.19,-0.21
1181633,-0.665,-0.287,0.66,-6.09,-2.31,-0.35
1181643,-0.665,-0.296,0.663,-6.58,-3.36,-0.98
1181652,-0.661,-0.298,0.67,-4.76,-3.64,-1.33
1181662,-0.662,-0.294,0.679,-1.54,-3.22,-1.68
1181671,-0.67,-0.302,0.698,-2.1,-2.31,-2.03
1181681,-0.666,-0.31,0.676,-3.99,-0.63,-1.96
1181691,-0.672,-0.31,0.657,-3.08,0.0,-2.03
1181700,-0.678,-0.312,0.645,-2.45,-1.26,-2.03
1181710,-0.68,-0.311,0.637,-3.22,-3.57,-1.82
1181720,-0.684,-0.305,0.614,-5.18,-6.09,-1.4
1181729,-0.68,-0.311,0.617,-8.68,-10.01,-0.7
1181739,-0.676,-0.303,0.609,-10.78,-13.09,-0.14
1181748,-0.67,-0.296,0.616,-13.58,-16.24,0.35
