Time,aX,aY,aZ,gX,gY,gZ
53256,-0.36,-0.262,0.88,1.12,2.66,2.52
53264,-0.353,-0.257,0.874,11.2,-0.91,0.84
53273,-0.349,-0.257,0.889,9.59,-3.64,0.28
53281,-0.348,-0.26,0.911,4.34,-4.97,0.77
53289,-0.34,-0.257,0.933,-1.82,-4.06,1.89
53298,-0.341,-0.255,0.942,-9.8,-0.42,3.43
53306,-0.345,-0.256,0.93,-16.17,3.92,4.76
53315,-0.35,-0.257,0.908,-18.2,6.86,5.18
53323,-0.352,-0.256,0.888,-15.89,7.42,4.41
53332,-0.361,-0.257,0.872,-11.69,6.3,2.94
53341,-0.358,-0.27,0.879,-7.07,2.94,0.49
53348,-0.361,-0.278,0.894,5.11,0.14,-1.26
53357,-0.369,-0.272,0.892,24.01,-3.5,-2.45
53365,-0.365,-0.271,0.864,51.8,-9.8,-6.3
53373,-0.356,-0.285,0.908,78.68,-16.52,-11.48
53382,-0.374,-0.286,0.96,127.68,-17.01,-15.12
53390,-0.34,-0.229,1.008,203.21,-15.19,-16.73
53398,-0.363,-0.184,1.044,302.19,-15.96,-21.98
53407,-0.437,-0.19,1.104,424.06,-19.67,-38.08
53415,-0.474,-0.167,1.146,588.49,-29.26,-60.9
53424,-0.42,-0.06,1.132,746.62,-47.74,-83.09
53432,-0.386,0.054,1.152,809.55,-65.73,-94.99
53440,-0.351,0.142,1.248,783.37,-65.59,-96.39
53449,-0.396,0.226,1.341,759.08,-44.24,-94.29
53457,-0.317,0.395,1.293,782.46,-15.4,-94.57
53466,-0.272,0.523,1.067,791.84,19.74,-99.05
53475,-0.321,0.516,0.768,770.7,43.96,-101.57
53482,-0.364,0.434,0.504,752.36,42.28,-97.58
53491,-0.388,0.358,0.374,751.8,20.02,-78.4
53499,-0.395,0.434,0.255,806.4,-7.63,-49.42
53507,-0.37,0.569,0.227,863.87,-33.11,-24.71
53516,-0.311,0.64,0.248,933.17,-51.94,-17.08
53524,-0.262,0.749,0.197,1011.29,-57.47,-23.17
53533,-0.295,0.883,0.01,1067.99,-40.67,-45.01
53541,-0.303,0.822,-0.3,1013.39,-17.92,-75.32
53549,-0.402,0.556,-0.44,842.17,11.97,-97.23
53558,-0.445,0.366,-0.534,691.25,38.5,-93.31
53566,-0.431,0.28,-0.593,602.56,57.47,-73.29
53574,-0.381,0.235,-0.753,587.79,71.68,-53.62
53583,-0.343,0.206,-0.921,594.51,68.39,-42.28
53591,-0.313,0.139,-0.96,572.39,50.47,-36.96
53600,-0.306,0.092,-0.943,525.28,32.2,-35.21
53609,-0.301,0.034,-0.83,434.77,24.43,-33.25
53616,-0.325,-0.012,-0.747,353.43,32.97,-29.12
53625,-0.33,-0.019,-0.866,291.06,54.25,-27.79
53633,-0.323,-0.06,-1.075,206.08,71.19,-33.74
53642,-0.313,-0.117,-1.258,121.38,68.81,-39.27
53650,-0.322,-0.176,-1.317,62.58,47.18,-38.64
53658,-0.328,-0.196,-1.286,46.2,15.75,-28.0
53667,-0.355,-0.172,-1.198,54.6,-10.15,-13.51
53675,-0.35,-0.118,-1.094,56.7,-24.01,0.63
53683,-0.335,-0.044,-1.011,46.48,-27.3,8.96
53692,-0.333,-0.013,-0.927,31.15,-25.2,8.89
53700,-0.333,0.006,-0.858,24.85,-21.21,4.48
53709,-0.338,0.009,-0.849,17.43,-14.14,-4.48
53717,-0.36,-0.035,-0.88,4.55,-3.64,-13.86
53725,-0.371,-0.084,-0.957,-0.07,4.2,-17.99
53734,-0.377,-0.11,-1.006,-8.54,3.36,-16.31
53743,-0.377,-0.095,-0.994,-19.95,-3.29,-10.29
53752,-0.381,-0.059,-0.952,-32.06,-9.52,-5.11
53759,-0.386,-0.053,-0.897,-38.22,-9.17,-3.43
53767,-0.384,-0.018,-0.912,-23.94,-7.35,1.54
53776,-0.38,0.033,-0.898,-27.09,-8.26,6.44
53784,-0.368,0.08,-0.855,-31.71,-8.54,7.21
53792,-0.355,0.094,-0.84,-28.35,-5.6,2.38
53801,-0.376,0.066,-0.834,-20.58,-0.42,-3.08
53809,-0.379,0.051,-0.9,-5.53,5.18,-5.81
53818,-0.382,0.028,-0.959,-1.54,6.37,-7.63
53826,-0.383,0.004,-0.991,-1.12,2.66,-8.96
53834,-0.385,-0.007,-0.984,-1.89,-3.71,-7.63
53843,-0.381,0.0,-0.951,-7.77,-9.8,-4.55
53851,-0.379,0.015,-0.894,-17.64,-12.18,-1.96
53859,-0.378,0.038,-0.852,-21.84,-10.71,0.84
53868,-0.375,0.066,-0.83,-22.4,-6.72,2.45
53877,-0.376,0.082,-0.83,-22.26,-0.7,2.24
53886,-0.376,0.091,-0.856,-20.23,5.11,0.84
53893,-0.371,0.085,-0.886,-17.92,8.12,-1.47
53901,-0.367,0.074,-0.913,-6.51,7.21,-3.08
53910,-0.372,0.06,-0.922,3.64,4.13,-3.99
53918,-0.368,0.045,-0.923,8.05,1.61,-4.55
53927,-0.365,0.03,-0.921,5.95,0.77,-4.06
53935,-0.362,0.023,-0.916,2.8,0.56,-2.8
53943,-0.368,0.024,-0.935,0.35,0.49,-1.96
53952,-0.372,0.025,-0.953,-4.55,0.63,-0.77
53960,-0.369,0.041,-0.966,-6.23,-1.54,1.4
53968,-0.369,0.057,-0.961,-9.94,-5.04,2.31
53977,-0.366,0.064,-0.943,-15.82,-7.21,1.54
53985,-0.371,0.061,-0.906,-21.0,-7.42,1.61
53994,-0.375,0.076,-0.866,-24.08,-5.88,4.2
54002,-0.373,0.105,-0.812,-19.95,-5.04,4.55
54011,-0.369,0.119,-0.815,-6.44,-0.56,0.21
54020,-0.375,0.091,-0.876,2.87,6.65,-5.39
54027,-0.378,0.052,-0.927,5.88,8.47,-7.91
54036,-0.386,0.032,-0.941,5.53,5.95,-6.37
54044,-0.385,0.043,-0.94,2.38,3.71,-2.66
54052,-0.375,0.061,-0.931,-1.4,2.03,-0.42
54061,-0.372,0.066,-0.911,-5.11,1.12,-0.49
54069,-0.373,0.06,-0.882,-7.14,0.91,-0.49
54077,-0.369,0.064,-0.856,-1.47,1.19,-0.21
54086,-0.37,0.072,-0.875,3.78,4.13,-0.77
54094,-0.37,0.072,-0.905,3.08,7.42,-1.05
54103,-0.371,0.076,-0.934,5.53,6.65,-1.68
54111,-0.366,0.081,-0.958,2.59,3.64,-3.57
54119,-0.364,0.059,-0.952,-1.89,0.28,-5.67
54128,-0.371,0.034,-0.939,6.65,-1.05,-5.32
54136,-0.372,0.024,-0.946,11.13,-0.56,-2.52
54145,-0.37,0.042,-0.949,9.45,-0.98,2.24
54154,-0.368,0.077,-0.945,6.93,-2.31,4.97
54161,-0.366,0.095,-0.93,2.59,-3.92,3.78
54170,-0.37,0.098,-0.91,-1.19,-5.53,0.91
54178,-0.373,0.094,-0.885,-3.64,-6.58,-2.17
54186,-0.378,0.084,-0.872,-4.97,-5.74,-4.69
54195,-0.379,0.077,-0.874,-8.68,-1.96,-5.53
54203,-0.379,0.073,-0.91,-10.99,2.52,-5.6
54212,-0.377,0.062,-0.944,-9.1,3.78,-5.95
54220,-0.379,0.054,-0.949,-3.85,1.05,-5.32
54228,-0.382,0.057,-0.941,0.98,-1.61,-3.43
54237,-0.38,0.066,-0.957,-0.42,-1.26,-2.17
54245,-0.377,0.057,-0.985,-9.1,-0.98,-2.59
54253,-0.377,0.044,-0.967,-17.57,-4.9,-1.82
