Time,aX,aY,aZ,gX,gY,gZ
44602,-0.476,-0.286,0.85,-49.77,0.84,3.57
44611,-0.479,-0.297,0.849,-60.06,0.14,6.86
44619,-0.484,-0.305,0.843,-72.8,-0.35,10.85
44628,-0.483,-0.301,0.81,-93.24,-0.84,14.84
44636,-0.491,-0.26,0.77,-124.04,-2.1,18.62
44644,-0.482,-0.229,0.762,-169.47,-5.74,19.88
44653,-0.453,-0.265,0.782,-210.49,-9.59,15.82
44661,-0.402,-0.329,0.824,-218.12,-13.58,9.8
44669,-0.427,-0.418,0.873,-195.72,-10.08,6.86
44678,-0.461,-0.462,0.84,-168.98,0.07,9.31
44687,-0.475,-0.452,0.781,-163.45,5.81,14.84
44696,-0.485,-0.446,0.756,-179.27,5.46,18.48
44703,-0.487,-0.473,0.761,-206.57,4.34,18.69
44711,-0.474,-0.535,0.76,-235.13,7.42,19.11
44720,-0.482,-0.584,0.719,-252.07,12.6,22.4
44728,-0.486,-0.589,0.659,-260.68,13.93,27.51
44736,-0.481,-0.582,0.617,-272.79,10.43,30.94
44745,-0.476,-0.581,0.576,-289.45,5.6,31.99
44753,-0.475,-0.605,0.551,-318.85,2.31,32.41
44762,-0.482,-0.631,0.512,-358.4,0.42,33.74
44770,-0.501,-0.662,0.466,-419.16,-3.08,35.7
44778,-0.505,-0.761,0.427,-512.4,-6.44,37.59
44787,-0.511,-0.915,0.359,-628.18,-6.09,44.8
44795,-0.503,-1.063,0.245,-750.54,-5.04,60.27
44804,-0.499,-1.159,0.155,-840.77,-7.98,80.29
44812,-0.525,-1.093,0.102,-855.89,-14.91,98.7
44821,-0.515,-0.958,0.096,-808.29,-20.44,104.93
44830,-0.524,-0.837,0.103,-718.41,-16.17,100.52
44837,-0.538,-0.718,0.02,-595.7,-4.48,90.44
44845,-0.533,-0.661,-0.132,-500.22,8.26,74.83
44854,-0.546,-0.685,-0.343,-451.78,10.15,59.57
44862,-0.579,-0.721,-0.426,-442.68,5.81,51.94
44871,-0.579,-0.696,-0.499,-438.83,-0.91,50.54
44879,-0.584,-0.629,-0.569,-455.7,-7.28,50.61
44887,-0.583,-0.549,-0.618,-493.29,-11.06,49.42
44896,-0.594,-0.496,-0.681,-540.26,-15.75,45.99
44904,-0.575,-0.477,-0.68,-577.71,-18.76,43.89
44913,-0.587,-0.379,-0.696,-573.58,-19.25,47.81
44921,-0.577,-0.29,-0.715,-559.65,-20.16,47.18
44929,-0.585,-0.278,-0.707,-552.93,-21.49,42.98
44938,-0.625,-0.274,-0.696,-540.61,-19.46,43.4
44946,-0.657,-0.216,-0.732,-527.66,-13.09,49.21
44955,-0.655,-0.108,-0.788,-530.81,-6.44,55.86
44964,-0.614,-0.003,-0.807,-546.21,-4.97,57.96
44971,-0.611,0.075,-0.765,-554.61,-9.31,54.04
44980,-0.64,0.164,-0.666,-546.49,-12.95,49.35
44988,-0.628,0.261,-0.568,-511.21,-10.78,44.8
44996,-0.64,0.331,-0.51,-455.28,-3.57,37.31
45005,-0.633,0.39,-0.5,-390.18,6.58,31.22
45013,-0.606,0.445,-0.523,-311.29,12.88,28.35
45022,-0.631,0.494,-0.557,-235.13,13.37,26.39
45030,-0.646,0.532,-0.551,-156.66,11.9,21.21
45038,-0.637,0.56,-0.61,-90.58,12.25,13.58
45047,-0.622,0.533,-0.65,-56.14,9.52,4.69
45055,-0.619,0.48,-0.639,-43.47,4.27,-0.91
45063,-0.623,0.43,-0.612,-41.72,2.17,-1.61
45072,-0.613,0.426,-0.576,-36.61,2.31,1.68
45080,-0.603,0.416,-0.599,-29.61,5.11,3.57
45089,-0.596,0.411,-0.613,-27.58,6.3,5.39
45098,-0.624,0.426,-0.612,-31.43,6.09,8.82
45105,-0.623,0.482,-0.604,-28.21,6.09,12.04
45114,-0.635,0.506,-0.62,-24.57,7.07,10.99
45122,-0.637,0.521,-0.636,-18.48,6.72,8.75
45130,-0.62,0.538,-0.623,-10.43,4.06,5.67
45139,-0.603,0.502,-0.614,-5.25,2.03,0.35
45147,-0.613,0.426,-0.609,-9.1,0.56,-1.75
45156,-0.619,0.418,-0.598,-15.4,-0.84,3.08
45164,-0.612,0.455,-0.579,-22.33,-0.21,8.75
45172,-0.613,0.505,-0.566,-23.59,1.54,10.85
45181,-0.604,0.527,-0.584,-23.24,4.83,9.38
45189,-0.607,0.518,-0.6,-21.77,5.11,7.07
45198,-0.611,0.514,-0.591,-19.6,2.87,6.09
45206,-0.613,0.524,-0.564,-18.55,2.17,6.16
45214,-0.606,0.548,-0.545,-14.7,4.13,5.18
45223,-0.595,0.539,-0.558,-11.97,7.84,2.8
45232,-0.588,0.512,-0.581,-11.41,9.94,1.33
45239,-0.583,0.487,-0.6,-10.22,8.89,2.38
45248,-0.577,0.471,-0.612,-9.31,4.83,4.83
45256,-0.592,0.473,-0.595,-14.14,0.14,8.4
45265,-0.589,0.503,-0.555,-20.51,-1.61,12.53
45273,-0.589,0.524,-0.549,-26.18,0.56,14.91
45281,-0.598,0.552,-0.572,-31.29,3.29,16.1
45290,-0.605,0.592,-0.565,-35.07,4.27,16.1
45298,-0.613,0.632,-0.556,-30.8,5.32,13.58
45307,-0.606,0.641,-0.569,-23.38,8.05,7.91
45315,-0.59,0.615,-0.594,-15.47,9.1,0.77
45323,-0.592,0.537,-0.612,-13.51,8.33,-4.27
45332,-0.577,0.505,-0.617,-12.11,4.9,-2.87
45340,-0.576,0.498,-0.588,-14.42,0.35,0.49
45348,-0.578,0.505,-0.556,-13.65,-1.75,3.64
